scenario_id,scope,family,pattern,n_seeds,delta_l1_coherence_min,delta_l1_coherence_max,delta_l1_coherence_range,delta_l1_coherence_std,delta_purity_min,delta_purity_max,delta_purity_range,delta_purity_std,max_abs_part_P1_delta_min,max_abs_part_P1_delta_max,max_abs_part_P1_delta_range,max_abs_part_P1_delta_std,max_abs_ZZ_delta_min,max_abs_ZZ_delta_max,max_abs_ZZ_delta_range,max_abs_ZZ_delta_std,max_abs_negativity_delta_min,max_abs_negativity_delta_max,max_abs_negativity_delta_range,max_abs_negativity_delta_std,coherence_signs,seed_instability_score
32,original_54,damage_restore_rewire,delete_C_then_run,10,2.869649428469,3.565758734799,0.69610930633,0.206806561536,-0.00489713047,-0.003790271458,0.001106859012,0.000347576805,0.344380199775,0.365649432223,0.021269232448,0.00597269846,0.862675756607,0.932401416742,0.069725660135,0.019961894015,0.072494536344,0.087162903798,0.014668367454,0.004129510363,+10/-0/00,0.139221861266
14,original_54,all_24_touch_orders,CADB,10,1.921163629992,2.604891726173,0.683728096181,0.182540130811,0.0,0.0,0.0,0.0,0.544961838014,0.592716585787,0.047754747773,0.015502819386,0.6953700756,0.749309365333,0.053939289733,0.014859535538,0.211668154076,0.216545105332,0.004876951256,0.001379348198,+10/-0/00,0.136745619236
28,original_54,rhythm_stop_burst,burst_then_idle,10,-3.162748117214,-2.481788459821,0.680959657393,0.213368065721,-0.740896727834,-0.738910419948,0.001986307886,0.000582771855,0.328122179245,0.352919853021,0.024797673776,0.007318148252,0.617857443891,0.674669760996,0.056812317105,0.01646157356,0.0,0.0,0.0,0.0,+0/-10/00,0.136191931479
13,original_54,all_24_touch_orders,CABD,10,0.580795039289,1.250545809864,0.669750770575,0.192400145052,0.0,0.0,0.0,0.0,0.634045105154,0.677072384485,0.043027279331,0.014834123585,0.830543328042,0.90097681595,0.070433487908,0.021782385448,0.214570707548,0.22083263413,0.006261926582,0.00161160311,+10/-0/00,0.133950154115
33,original_54,damage_restore_rewire,delete_D_then_run,10,2.743857675734,3.391000122164,0.64714244643,0.199812980097,-0.007221303694,-0.005469410679,0.001751893015,0.000492834774,0.328586651071,0.345112867402,0.016526216331,0.006090880981,0.985548896371,1.058600248919,0.073051352548,0.024073694209,0.149049780865,0.152656768241,0.003606987376,0.001170385518,+10/-0/00,0.129428489286
46,original_54,initial_environment_variation,alternating,10,2.780374925851,3.414056012967,0.633681087116,0.186493120507,-0.38698144323,-0.378978934125,0.008002509105,0.003061375995,0.431326738444,0.442122463277,0.010795724833,0.003165701434,1.051327079509,1.112468624779,0.06114154527,0.018588167785,0.079067535296,0.09123033379,0.012162798494,0.003938769046,+10/-0/00,0.126736217423
53,original_54,two_cell_contact,damage_left_cell_then_contact,10,-2.612403759905,-1.990799955956,0.621603803949,0.176533647316,-0.691358024691,-0.691358024691,0.0,0.0,0.399012001446,0.42321078866,0.024198787214,0.008502941753,0.547393389657,0.603676737236,0.056283347579,0.015460007417,0.0,0.0,0.0,0.0,+0/-10/00,0.12432076079
12,original_54,all_24_touch_orders,BDCA,10,1.918449659609,2.53523611265,0.616786453041,0.184118318763,0.0,0.0,0.0,0.0,0.665380369228,0.712136980296,0.046756611068,0.015210642739,0.741352359222,0.818934823986,0.077582464764,0.026788617436,0.257722549562,0.276464784001,0.018742234439,0.005511381323,+10/-0/00,0.123357290608
1009,expanded_axes,multi_cell_chain_ring,four_node_chain_ABCD,10,3.159708196018,3.769873020244,0.610164824226,0.159721861221,0.0,0.0,0.0,0.0,0.348206748852,0.361106635205,0.012899886353,0.004082133156,0.425521166884,0.472428727719,0.046907560835,0.015429067507,0.098832771797,0.111442405531,0.012609633734,0.003676270222,+10/-0/00,0.122032964845
34,original_54,damage_restore_rewire,damage_B_restore_B,10,-0.340397262918,0.268580590774,0.608977853692,0.191746824985,-0.464444444444,-0.464444444444,0.0,0.0,0.555647958765,0.572017754424,0.016369795659,0.005635022682,0.612078253889,0.673348617314,0.061270363425,0.018552792151,0.003185637406,0.003929760697,0.000744123291,0.000259112113,+4/-6/00,0.121795570738
