scenario_id,family,pattern,n_steps,delta_l1_coherence,delta_purity,max_abs_part_P1_delta,max_abs_ZZ_delta,max_abs_negativity_delta,part_P1_delta_json,pair_ZZ_delta_json,pair_negativity_delta_json
21,all_24_touch_orders,DBAC,9,3.522284569555,0.0,0.58583565288,0.684924685829,0.321211191065,"{""A"": 0.58583565288, ""B"": 0.242390535113, ""C"": 0.23183415411, ""D"": 0.520064743161}","{""AB"": -0.478359125369, ""AC"": -0.684924685829, ""AD"": -0.141475719552, ""BC"": -0.557702533509, ""BD"": -0.452672985474, ""CD"": -0.258616629975}","{""AB"": 0.033346826552, ""AC"": 0.029158816535, ""AD"": 0.0, ""BC"": 0.321211191065, ""BD"": 0.004554504451, ""CD"": 0.083047980893}"
22,all_24_touch_orders,DBCA,9,2.850660002771,0.0,0.649669101182,0.822331666599,0.319794858469,"{""A"": 0.649669101182, ""B"": 0.25066707423, ""C"": 0.183734873251, ""D"": 0.484633915594}","{""AB"": -0.494461028925, ""AC"": -0.822331666599, ""AD"": -0.109270959608, ""BC"": -0.601936600426, ""BD"": -0.444202774196, ""CD"": -0.314187156793}","{""AB"": 0.035253167846, ""AC"": 0.032850501385, ""AD"": 0.0, ""BC"": 0.319794858469, ""BD"": 0.001157325677, ""CD"": 0.083098046568}"
23,all_24_touch_orders,DCAB,9,3.17461653468,0.0,0.58574192617,0.769265401282,0.341435683397,"{""A"": 0.58574192617, ""B"": 0.219182380574, ""C"": 0.329400096679, ""D"": 0.498443187477}","{""AB"": -0.527405561543, ""AC"": -0.587013888529, ""AD"": -0.163269268467, ""BC"": -0.769265401282, ""BD"": -0.493494771094, ""CD"": -0.163170853638}","{""AB"": 0.017964749032, ""AC"": 0.018338159525, ""AD"": 0.0, ""BC"": 0.341435683397, ""BD"": 0.004978636484, ""CD"": 0.050530545513}"
24,all_24_touch_orders,DCBA,9,2.555932185518,0.0,0.625718495723,0.739487210085,0.323392351306,"{""A"": 0.625718495723, ""B"": 0.185096956943, ""C"": 0.320113546202, ""D"": 0.499077835417}","{""AB"": -0.612684625113, ""AC"": -0.673822947065, ""AD"": -0.118446122327, ""BC"": -0.739487210085, ""BD"": -0.523960815923, ""CD"": -0.188648565091}","{""AB"": 0.046100803621, ""AC"": 0.0312984789, ""AD"": 0.0, ""BC"": 0.323392351306, ""BD"": 0.000862087089, ""CD"": 0.049210261156}"
25,rhythm_stop_burst,fast_repeat_A,33,5.127870725021,0.0,0.364390439318,0.616682853429,0.190231478528,"{""A"": 0.364390439318, ""B"": 0.210949045126, ""C"": 0.143454379635, ""D"": 0.314039894772}","{""AB"": -0.616682853429, ""AC"": -0.469864023078, ""AD"": -0.477141659518, ""BC"": -0.381916606737, ""BD"": -0.207020356407, ""CD"": -0.322414663974}","{""AB"": 0.181100583201, ""AC"": 0.095283065436, ""AD"": 0.010618504365, ""BC"": 0.190231478528, ""BD"": 0.005356316684, ""CD"": 0.011681461065}"
26,rhythm_stop_burst,slow_repeat_A,25,2.479232928281,0.0,0.604197799291,0.839678488658,0.154741744888,"{""A"": 0.340226489116, ""B"": 0.455326124766, ""C"": 0.604197799291, ""D"": -0.017509694331}","{""AB"": -0.142633980949, ""AC"": -0.404847223453, ""AD"": -0.46775101844, ""BC"": -0.158936119978, ""BD"": -0.551153893192, ""CD"": -0.839678488658}","{""AB"": 0.154741744888, ""AC"": 0.055915508361, ""AD"": 0.022495414186, ""BC"": 0.03037295099, ""BD"": 0.068141647563, ""CD"": 0.045965050189}"
27,rhythm_stop_burst,irregular_ABCD,17,3.99260166481,0.0,0.372580198803,0.783978593869,0.174282206485,"{""A"": 0.268679433241, ""B"": 0.372580198803, ""C"": 0.294925571648, ""D"": 0.166102745064}","{""AB"": -0.783978593869, ""AC"": -0.570758645076, ""AD"": -0.416409162347, ""BC"": -0.40059466128, ""BD"": -0.308044452947, ""CD"": 0.147495350587}","{""AB"": 0.000898036123, ""AC"": 0.0, ""AD"": 0.02986706878, ""BC"": 0.174282206485, ""BD"": 0.061695050502, ""CD"": 0.113077209567}"
28,rhythm_stop_burst,burst_then_idle,23,-2.69742541823,-0.739704499576,0.345831116869,0.654088536898,0.0,"{""A"": 0.324423639782, ""B"": 0.31636049917, ""C"": 0.345831116869, ""D"": 0.243693957006}","{""AB"": -0.654088536898, ""AC"": -0.377654913112, ""AD"": -0.461341633017, ""BC"": -0.572819917647, ""BD"": -0.273162177138, ""CD"": -0.357778774102}","{""AB"": 0.0, ""AC"": 0.0, ""AD"": 0.0, ""BC"": 0.0, ""BD"": 0.0, ""CD"": 0.0}"
29,rhythm_stop_burst,stop_then_reverse_phase,10,2.422905849523,0.0,0.635933622222,0.541783614814,0.127878144111,"{""A"": 0.635933622222, ""B"": 0.51943538526, ""C"": 0.48671750393, ""D"": 0.20328248306}","{""AB"": -0.172213435106, ""AC"": -0.229892433808, ""AD"": -0.541783614814, ""BC"": -0.057867031087, ""BD"": -0.309037110319, ""CD"": -0.15688225253}","{""AB"": 0.021098231581, ""AC"": 0.127878144111, ""AD"": 0.049463107532, ""BC"": 0.122049755707, ""BD"": 0.0, ""CD"": 0.11140707552}"
30,damage_restore_rewire,delete_A_then_run,3,4.001628887244,-0.001463009407,0.356018365473,1.002799570636,0.084002175582,"{""A"": 0.302372670822, ""B"": 0.320550245929, ""C"": 0.324084462742, ""D"": 0.356018365473}","{""AB"": -1.002799570636, ""AC"": -0.179738146175, ""AD"": -0.322112120513, ""BC"": -0.725063004394, ""BD"": -0.275840692526, ""CD"": -0.247822045708}","{""AB"": 0.084002175582, ""AC"": 0.0, ""AD"": 0.0, ""BC"": 0.032154588333, ""BD"": 0.0, ""CD"": 0.043414594747}"
31,damage_restore_rewire,delete_B_then_run,3,4.141524627284,-0.00251051207,0.353317605996,0.879757397273,0.060381501205,"{""A"": 0.348576957807, ""B"": 0.272001602248, ""C"": 0.288819610854, ""D"": 0.353317605996}","{""AB"": -0.879757397273, ""AC"": -0.162140076487, ""AD"": -0.29924277353, ""BC"": -0.482724402762, ""BD"": -0.159579646936, ""CD"": -0.169621484089}","{""AB"": 0.033331933545, ""AC"": 0.060158019327, ""AD"": 0.0, ""BC"": 0.011442828398, ""BD"": 0.060381501205, ""CD"": 0.040166856072}"
32,damage_restore_rewire,delete_C_then_run,3,3.362248992804,-0.00399650428,0.359158273342,0.901882069456,0.077793874628,"{""A"": 0.347516879231, ""B"": 0.341986535693, ""C"": 0.280186453542, ""D"": 0.359158273342}","{""AB"": -0.901882069456, ""AC"": -0.178056706386, ""AD"": -0.289375430847, ""BC"": -0.892881012186, ""BD"": -0.107982027793, ""CD"": -0.63248713706}","{""AB"": 0.077793874628, ""AC"": 0.0, ""AD"": 0.0, ""BC"": 0.046800861296, ""BD"": 0.0, ""CD"": 0.047945246848}"
33,damage_restore_rewire,delete_D_then_run,3,3.170221982845,-0.005995327733,0.337359592479,1.028774497888,0.15098183256,"{""A"": 0.33167262623, ""B"": 0.337359592479, ""C"": 0.304595367051, ""D"": 0.23845545372}","{""AB"": -1.028774497888, ""AC"": -0.363090057737, ""AD"": -0.647832139511, ""BC"": -0.512835412493, ""BD"": 0.10654139751, ""CD"": -0.578923801404}","{""AB"": 0.15098183256, ""AC"": 0.0, ""AD"": 0.0, ""BC"": 0.0, ""BD"": 0.010482988057, ""CD"": 0.135099581091}"
34,damage_restore_rewire,damage_B_restore_B,5,0.056612693171,-0.464444444444,0.564344157812,0.651070662734,0.003463732492,"{""A"": 0.564344157812, ""B"": 0.332472864452, ""C"": 0.276309084158, ""D"": 0.438050991977}","{""AB"": -0.651070662734, ""AC"": -0.535792947908, ""AD"": -0.145457315877, ""BC"": -0.214215139866, ""BD"": -0.40665487872, ""CD"": -0.448371179174}","{""AB"": 0.003463732492, ""AC"": 0.0, ""AD"": 0.0, ""BC"": 0.0, ""BD"": 0.0, ""CD"": 0.0}"
