candidate_id,grid_id,cost_per_angle,n_seed,mean_gain_before_cost,mean_angle_budget,mean_gross_controller_cost,mean_net_gain_after_cost,median_net_gain_after_cost,n_net_positive_after_cost,min_break_even_cost_per_angle,mean_break_even_cost_per_angle,no_resource_trick_count,max_budget_excess,max_residual
gen2_mut008_from_gen1_mut008_from_hand_coded,QFCBM_0988,0.003,60,13.449728527043208,302.1397621094598,0.9064192863283794,12.543309240714827,12.378971881255936,60,0.042163268334735354,0.04449316813090323,0,0.0,5.284661597215746e-14
gen2_mut008_from_gen1_mut008_from_hand_coded,QFCBM_0988,0.01,60,13.449728527043208,302.1397621094598,3.0213976210945983,10.428330905948608,10.270502736675523,60,0.042163268334735354,0.04449316813090323,0,0.0,5.284661597215746e-14
gen2_mut008_from_gen1_mut008_from_hand_coded,QFCBM_0988,0.03,60,13.449728527043208,302.1397621094598,9.064192863283795,4.385535663759413,4.254924919583569,60,0.042163268334735354,0.04449316813090323,0,0.0,5.284661597215746e-14
gen2_mut008_from_gen1_mut008_from_hand_coded,QFCBM_0988,0.1,60,13.449728527043208,302.1397621094598,30.21397621094598,-16.764247683902774,-16.76578188040315,0,0.042163268334735354,0.04449316813090323,0,0.0,5.284661597215746e-14
hand_coded,QFCBM_0399,0.0,60,0.009970903576739121,152.40679979998367,0.0,0.009970903576739121,0.00997717698176765,60,3.77178757472441e-05,6.541279359427546e-05,0,0.0,7.216449660063519e-14
hand_coded,QFCBM_0399,1e-05,60,0.009970903576739121,152.40679979998367,0.0015240679979998367,0.008446835578739284,0.008452907719147328,60,3.77178757472441e-05,6.541279359427546e-05,0,0.0,7.216449660063519e-14
hand_coded,QFCBM_0399,3e-05,60,0.009970903576739121,152.40679979998367,0.00457220399399951,0.00539869958273961,0.005414451730470572,60,3.77178757472441e-05,6.541279359427546e-05,0,0.0,7.216449660063519e-14
hand_coded,QFCBM_0399,0.0001,60,0.009970903576739121,152.40679979998367,0.015240679979998367,-0.0052697764032592475,-0.005210832009203184,3,3.77178757472441e-05,6.541279359427546e-05,0,0.0,7.216449660063519e-14
hand_coded,QFCBM_0399,0.0003,60,0.009970903576739121,152.40679979998367,0.0457220399399951,-0.03575113636325598,-0.0357204792868212,0,3.77178757472441e-05,6.541279359427546e-05,0,0.0,7.216449660063519e-14
hand_coded,QFCBM_0399,0.001,60,0.009970903576739121,152.40679979998367,0.15240679979998367,-0.14243589622324454,-0.14242036555622073,0,3.77178757472441e-05,6.541279359427546e-05,0,0.0,7.216449660063519e-14
hand_coded,QFCBM_0399,0.003,60,0.009970903576739121,152.40679979998367,0.457220399399951,-0.4472494958232119,-0.4474179563945625,0,3.77178757472441e-05,6.541279359427546e-05,0,0.0,7.216449660063519e-14
hand_coded,QFCBM_0399,0.01,60,0.009970903576739121,152.40679979998367,1.5240679979998366,-1.5140970944230976,-1.5151689528675338,0,3.77178757472441e-05,6.541279359427546e-05,0,0.0,7.216449660063519e-14
hand_coded,QFCBM_0399,0.03,60,0.009970903576739121,152.40679979998367,4.572203993999509,-4.562233090422771,-4.566071442529679,0,3.77178757472441e-05,6.541279359427546e-05,0,0.0,7.216449660063519e-14
hand_coded,QFCBM_0399,0.1,60,0.009970903576739121,152.40679979998367,15.240679979998367,-15.230709076421627,-15.242604241599985,0,3.77178757472441e-05,6.541279359427546e-05,0,0.0,7.216449660063519e-14
hand_coded,QFCBM_0496,0.0,60,0.1792941158729427,282.6954690170505,0.0,0.1792941158729427,0.1778096140025057,60,0.0006074530798314329,0.0006342225335493379,0,0.0,8.72635297355373e-14
