scenario_id,family,pattern,n_steps,delta_l1_coherence,delta_purity,max_abs_part_P1_delta,max_abs_ZZ_delta,max_abs_negativity_delta,part_P1_delta_json,pair_ZZ_delta_json,pair_negativity_delta_json,seed,scope
1009,multi_cell_chain_ring,four_node_chain_ABCD,5,3.159708196018,0.0,0.357424979832,0.425521166884,0.102419619077,"{""A"": 0.19949683085, ""B"": 0.357424979832, ""C"": -0.020916263715, ""D"": 0.310789016448}","{""AB"": -0.425521166884, ""AC"": -0.31628548283, ""AD"": -0.406258338081, ""BC"": -0.420654611235, ""BD"": -0.324375991359, ""CD"": -0.387382094186}","{""AB"": 0.069007027007, ""AC"": 0.03055652675, ""AD"": 0.016545766024, ""BC"": 0.102419619077, ""BD"": 0.066121418319, ""CD"": 0.095871002195}",20260715,expanded_axes
1010,multi_cell_chain_ring,four_node_ring_ABCD,4,2.072140830506,0.0,0.363314730537,0.62653764791,0.099166356584,"{""A"": 0.363314730537, ""B"": 0.330960203203, ""C"": 0.166111804544, ""D"": 0.055607033484}","{""AB"": -0.232974101873, ""AC"": -0.194192650779, ""AD"": -0.62653764791, ""BC"": -0.456598216773, ""BD"": -0.212155471449, ""CD"": -0.396029589447}","{""AB"": 0.099166356584, ""AC"": 0.074668955136, ""AD"": 0.0, ""BC"": 0.0, ""BD"": 0.082035461504, ""CD"": 0.080728835718}",20260715,expanded_axes
1011,multi_cell_chain_ring,four_node_two_contacts,4,2.722847392509,0.0,0.348237333809,0.207174601965,0.183744116043,"{""A"": 0.129394483542, ""B"": 0.348237333809, ""C"": 0.226883309462, ""D"": 0.21790525876}","{""AB"": -0.207174601965, ""AC"": -0.146970938579, ""AD"": -0.13331384193, ""BC"": -0.187662405269, ""BD"": -0.043287992793, ""CD"": -0.164099105848}","{""AB"": 0.056219418482, ""AC"": 0.029974259623, ""AD"": 0.021204210176, ""BC"": 0.183744116043, ""BD"": 0.066233519909, ""CD"": 0.030842894635}",20260715,expanded_axes
1012,measurement_timing_intervention,measure_A_each_step,25,3.272924422316,0.0,0.419687856761,0.695655980801,0.180342418325,"{""A"": 0.036895084517, ""B"": 0.419687856761, ""C"": 0.355869877111, ""D"": 0.351656895807}","{""AB"": -0.695655980801, ""AC"": -0.53993221014, ""AD"": -0.534530529653, ""BC"": -0.333558815169, ""BD"": -0.22821514393, ""CD"": 0.096692461074}","{""AB"": 0.001339989166, ""AC"": 0.0, ""AD"": 0.001529724753, ""BC"": 0.16417606774, ""BD"": 0.180342418325, ""CD"": 0.105076006716}",20260715,expanded_axes
1013,measurement_timing_intervention,measure_rotating_ABCD,25,1.633083481422,0.0,0.608099764287,0.886145799526,0.221015908221,"{""A"": 0.608099764287, ""B"": 0.313688251544, ""C"": 0.254373147749, ""D"": 0.582149097883}","{""AB"": -0.88418517336, ""AC"": -0.213574815452, ""AD"": -0.052915394295, ""BC"": -0.886145799526, ""BD"": -0.375051413464, ""CD"": -0.304014124429}","{""AB"": 0.221015908221, ""AC"": 0.045966724648, ""AD"": 0.0, ""BC"": 0.124336624167, ""BD"": 0.011296506749, ""CD"": 0.153054570553}",20260715,expanded_axes
1014,measurement_timing_intervention,measure_middle_after_touch,5,2.853467586834,0.0,0.60693472071,0.794814736585,0.192438470202,"{""A"": 0.60693472071, ""B"": 0.161501074154, ""C"": 0.274661132018, ""D"": 0.385220700666}","{""AB"": -0.794814736585, ""AC"": -0.48085462016, ""AD"": -0.214710911283, ""BC"": -0.432481822472, ""BD"": -0.53328996428, ""CD"": -0.548315385617}","{""AB"": 0.006602483389, ""AC"": 0.0, ""AD"": 0.001089384435, ""BC"": 0.109590140324, ""BD"": 0.192438470202, ""CD"": 0.100212959032}",20260715,expanded_axes
1015,measurement_timing_intervention,late_measure_all_then_continue,5,0.341564295164,0.0,0.625891394163,0.981622490084,0.179397828306,"{""A"": 0.625891394163, ""B"": 0.066404462808, ""C"": -0.085789764272, ""D"": 0.067748299739}","{""AB"": -0.981622490084, ""AC"": -0.870731526481, ""AD"": -0.480251055866, ""BC"": 0.055240837873, ""BD"": -0.143954012022, ""CD"": -0.153313011218}","{""AB"": 0.179397828306, ""AC"": 0.044826454514, ""AD"": 0.0, ""BC"": 0.001988645195, ""BD"": 0.0, ""CD"": 0.161822800272}",20260715,expanded_axes
1016,measurement_timing_intervention,sparse_edge_measure,7,2.891602942174,0.0,0.422135873627,0.974440631109,0.131613099388,"{""A"": 0.422135873627, ""B"": 0.39894768616, ""C"": 0.224396767659, ""D"": 0.20996599845}","{""AB"": -0.15067367559, ""AC"": -0.695484220036, ""AD"": -0.390402419109, ""BC"": -0.974440631109, ""BD"": -0.58120695168, ""CD"": -0.028484349476}","{""AB"": 0.107508028014, ""AC"": 0.0, ""AD"": 0.0, ""BC"": 0.131613099388, ""BD"": 0.010786541992, ""CD"": 0.059314834684}",20260715,expanded_axes
1017,duplication_asymmetry,A_and_D_duplicate_like_parallel,4,3.409893835441,0.0,0.35956694258,0.700139886725,0.148203051867,"{""A"": 0.28001571787, ""B"": 0.015767207954, ""C"": 0.35956694258, ""D"": 0.233469535604}","{""AB"": -0.423288591749, ""AC"": -0.700139886725, ""AD"": -0.221402588958, ""BC"": -0.542657617641, ""BD"": -0.335671387013, ""CD"": -0.284986081655}","{""AB"": 0.057351233603, ""AC"": 0.148203051867, ""AD"": 0.002583810025, ""BC"": 0.071817858438, ""BD"": 0.083487563788, ""CD"": 0.067985286878}",20260715,expanded_axes
1018,duplication_asymmetry,A_D_duplicate_like_unequal,4,3.470478171255,0.0,0.341904986224,0.611397145351,0.124233208692,"{""A"": 0.301140252733, ""B"": 0.007806575054, ""C"": 0.341904986224, ""D"": 0.290722468543}","{""AB"": -0.409408873568, ""AC"": -0.611397145351, ""AD"": -0.273890513889, ""BC"": -0.499230953156, ""BD"": -0.380767941433, ""CD"": -0.442860946323}","{""AB"": 0.045727230131, ""AC"": 0.124233208692, ""AD"": 0.002673982177, ""BC"": 0.091572007804, ""BD"": 0.075762906421, ""CD"": 0.085707191733}",20260715,expanded_axes
