grid_id,structure,g_internal,theta_in_RE,theta_out_DW,out_layers,n_seed,resource_attributable_W_mean,resource_attributable_W_std,central_resource_attributable_W_mean,fixed_to_matched_central_ratio_mean,efficiency_resource_to_W_mean,efficiency_resource_to_W_std,net_resource_transfer_mean,initial_internal_energy_change_mean,Q_noise_cum_mean,D_population_mean,D_to_W_flow_cum_mean,max_abs_energy_balance_residual,max_U_DW_commutator_norm,n_efficiency_gt_1,n_outlet_narrow
QFCBM_0303,chain,0.2,0.05,0.05,4,10,0.03293765001336019,0.0005457877262899605,0.060523501065165394,0.5441962826974793,0.08053501153634735,9.459804265426603e-05,0.40898194929930015,2.45413192081846,2.550142432752409,0.03579744767420808,0.3129714373659752,2.886579864025407e-14,0.0,0,0
QFCBM_0304,chain,0.2,0.05,0.05,8,10,0.08123407877670306,0.0013325866267735612,0.16549033330028357,0.49084699761164313,0.1978176750451895,0.00019910258160610393,0.41064847171002156,2.457267199586493,2.0758011242208014,0.02082714886111131,0.7921145470766016,2.886579864025407e-14,0.0,0,0
QFCBM_0305,chain,0.2,0.05,0.1,1,10,0.009560306887333411,0.00016021994008789785,0.01702815223485968,0.5614298603287825,0.023420940135550832,3.0319277414334237e-05,0.4081907051259549,2.4524335257715455,2.77008876742919,0.04226827417350547,0.09053546346881315,2.3092638912203256e-14,0.0,0,0
QFCBM_0306,chain,0.2,0.05,0.1,2,10,0.03293765001336018,0.0005457877262898731,0.060523501065165394,0.5441962826974791,0.08053501153632947,9.459804265635331e-05,0.4089819492993911,2.45413192081846,2.5501424327524083,0.03579744767420806,0.312971437365975,2.753353101070388e-14,0.0,0,0
QFCBM_0307,chain,0.2,0.05,0.1,4,10,0.08123407877670288,0.0013325866267736909,0.16549033330028332,0.4908469976116427,0.19781767504512485,0.00019910258161556974,0.41064847171015517,2.457267199586493,2.0758011242208,0.02082714886111128,0.7921145470766009,2.753353101070388e-14,0.0,0,0
QFCBM_0308,chain,0.2,0.05,0.1,8,10,0.10010823631623911,0.001727369309643874,0.2697213837903728,0.37113356682482684,0.24337997582486434,0.0002531291239546314,0.41132113032233236,2.458284475759482,1.754800129826903,0.0049422801192235705,1.1148054762557649,2.886579864025407e-14,0.0,0,0
QFCBM_0309,chain,0.2,0.05,0.2,1,10,0.03293765001336006,0.000545787726289955,0.06052350106516528,0.5441962826974781,0.08053501153628088,9.459804267544676e-05,0.4089819492996355,2.45413192081846,2.5501424327524047,0.035797447674207984,0.3129714373659745,2.398081733190338e-14,0.0,0,0
QFCBM_0310,chain,0.2,0.05,0.2,2,10,0.0812340787767025,0.0013325866267736013,0.1654903333002827,0.49084699761164235,0.197817675044957,0.00019910258161888014,0.4106484717105019,2.457267199586493,2.075801124220797,0.02082714886111122,0.7921145470765989,2.2648549702353197e-14,0.0,0,0
QFCBM_0311,chain,0.2,0.05,0.2,4,10,0.10010823631623902,0.0017273693096437372,0.2697213837903717,0.3711335668248282,0.24337997582469098,0.0002531291239894105,0.4113211303226251,2.458284475759482,1.7548001298269011,0.00494228011922356,1.1148054762557627,2.4424906541753444e-14,0.0,0,0
QFCBM_0312,chain,0.2,0.05,0.2,8,10,0.04391138921448541,0.0008515514097425965,0.21064335044828927,0.2084459590128102,0.1072899146568596,0.00014942351283318738,0.40927082574258977,2.454769427996605,2.030168719306316,3.3444056034614206e-06,0.8338715344333159,2.5313084961453572e-14,0.0,0,0
QFCBM_0313,chain,0.2,0.05,0.4,1,10,0.08123407877670263,0.0013325866267736932,0.16549033330028284,0.4908469976116427,0.1978176750449792,0.0001991025816187699,0.41064847171045643,2.457267199586493,2.0758011242207965,0.02082714886111123,0.7921145470765993,2.220446049250313e-14,0.0,0,0
QFCBM_0314,chain,0.2,0.05,0.4,2,10,0.10010823631623897,0.0017273693096437335,0.26972138379037186,0.37113356682482773,0.24337997582470935,0.0002531291239931814,0.4113211303225938,2.458284475759482,1.7548001298269014,0.00494228011922356,1.114805476255763,2.4868995751603507e-14,0.0,0,0
QFCBM_0315,chain,0.2,0.05,0.4,4,10,0.04391138921448551,0.0008515514097425642,0.2106433504482895,0.20844595901281043,0.10728991465687084,0.00014942351284130367,0.40927082574254714,2.454769427996605,2.030168719306316,3.3444056034615006e-06,0.833871534433316,2.5757174171303632e-14,0.0,0,0
QFCBM_0316,chain,0.2,0.05,0.4,8,10,0.00021125160861313946,4.597464319195318e-06,0.002021428400666439,0.1045094247918646,0.0005181480863354947,1.4424100753503758e-06,0.40768707502479345,2.4517412066698556,2.8297998611678854,0.04072704618996176,0.029628420527697402,3.241851231905457e-14,0.0,0,4
QFCBM_0317,chain,0.2,0.05,0.8,1,10,0.10010823631623893,0.0017273693096437157,0.2697213837903717,0.3711335668248278,0.24337997582469573,0.00025312912399345726,0.4113211303226166,2.458284475759482,1.7548001298269011,0.00494228011922356,1.1148054762557627,2.4424906541753444e-14,0.0,0,0
QFCBM_0318,chain,0.2,0.05,0.8,2,10,0.043911389214485425,0.0008515514097425233,0.2106433504482894,0.20844595901281013,0.10728991465685955,0.00014942351283873001,0.40927082574258977,2.454769427996605,2.030168719306316,3.3444056034614998e-06,0.8338715344333159,2.5757174171303632e-14,0.0,0,0
QFCBM_0319,chain,0.2,0.05,0.8,4,10,0.00021125160861311067,4.597464319200564e-06,0.0020214284006664198,0.10450942479185119,0.0005181480863345766,1.4424100749519148e-06,0.4076870750254642,2.4517412066698556,2.8297998611678756,0.04072704618996145,0.02962842052769719,2.042810365310288e-14,0.0,0,4
QFCBM_0320,chain,0.2,0.05,0.8,8,10,0.0128005348080126,0.0002141524521807069,0.02288979941405947,0.5592122824233472,0.031350495559119354,4.002127736660606e-05,0.408300024349009,2.452675857691335,2.739721321610643,0.0413844837753196,0.12125456043000878,2.0872192862952943e-14,0.0,0,0
QFCBM_0321,chain,0.2,0.1,0.05,1,10,0.009489006003808309,0.00016096428716201196,0.01686003440540644,0.5628001947425146,0.006067479850935911,8.347521697168987e-06,1.56389478751434,2.4027227322003335,3.9360729418865565,0.057328123910474725,0.03054457782885876,2.7977620220553945e-14,0.0,0,7
QFCBM_0322,chain,0.2,0.1,0.05,2,10,0.0364831543242087,0.0006164617023252635,0.06540851415778073,0.5577616852508993,0.023311017657143284,3.112398540288434e-05,1.5650439157264457,2.4047447641978623,3.8523303690194846,0.05483773870587968,0.1174583109056885,3.0198066269804264e-14,0.0,0,0
QFCBM_0323,chain,0.2,0.1,0.05,4,10,0.12579282933431987,0.0021017510273304055,0.2332426133521482,0.5393049811772401,0.08018084795732054,9.74512621153645e-05,1.5688494921624738,2.411167191730949,3.574190067207553,0.04641815623150157,0.4058266166869349,3.6859404417555203e-14,0.0,0,0
QFCBM_0324,chain,0.2,0.1,0.05,8,10,0.31072636917545093,0.005139821637575163,0.643148387183405,0.48311105766974477,0.19706620257790958,0.0002065012600408884,1.5767498429891673,2.4231193725395594,2.9782623780546316,0.026861213141652664,1.0216068374753493,4.307665335545608e-14,0.0,0,0
QFCBM_0325,chain,0.2,0.1,0.1,1,10,0.036483154324208726,0.0006164617023252712,0.06540851415778072,0.5577616852509,0.02331101765714284,3.112398540278087e-05,1.565043915726477,2.4047447641978623,3.8523303690194837,0.05483773870587968,0.11745831090568845,2.930988785010413e-14,0.0,0,0
QFCBM_0326,chain,0.2,0.1,0.1,2,10,0.1257928293343198,0.0021017510273303643,0.23324261335214805,0.5393049811772401,0.08018084795731481,9.745126211659046e-05,1.5688494921625846,2.4111671917309496,3.5741900672075504,0.04641815623150157,0.40582661668693465,3.5527136788005016e-14,0.0,0,0
QFCBM_0327,chain,0.2,0.1,0.1,4,10,0.31072636917545055,0.005139821637575363,0.6431483871834038,0.48311105766974505,0.19706620257789656,0.00020650126003703072,1.5767498429892697,2.4231193725395594,2.9782623780546302,0.02686121314165263,1.0216068374753484,3.996802888650564e-14,0.0,0,0
QFCBM_0328,chain,0.2,0.1,0.1,8,10,0.38296798329690834,0.0066620271622205764,1.0583128882267736,0.36184599599291245,0.24248880101022258,0.00026292546850819335,1.5793071238098946,2.4270510557497604,2.6086929563243855,0.0061962855343445,1.3976652232364342,4.5297099404706393e-14,0.0,0,0
QFCBM_0329,chain,0.2,0.1,0.2,1,10,0.12579282933431932,0.002101751027330471,0.23324261335214724,0.5393049811772399,0.08018084795730113,9.745126211675969e-05,1.5688494921628462,2.4111671917309496,3.5741900672075446,0.0464181562315015,0.40582661668693376,2.8421709430404014e-14,0.0,0,0
QFCBM_0330,chain,0.2,0.1,0.2,2,10,0.31072636917544927,0.005139821637575255,0.643148387183401,0.4831110576697453,0.19706620257784518,0.0002065012600462168,1.5767498429896734,2.4231193725395594,2.9782623780546245,0.026861213141652563,1.0216068374753458,2.9753977059954195e-14,0.0,0,0
QFCBM_0331,chain,0.2,0.1,0.2,4,10,0.38296798329690657,0.006662027162220448,1.058312888226768,0.3618459959929127,0.2424888010101632,0.00026292546849636725,1.5793071238102754,2.4270510557497604,2.608692956324382,0.006196285534344479,1.3976652232364302,3.6415315207705135e-14,0.0,0,0
QFCBM_0332,chain,0.2,0.1,0.2,8,10,0.16753216366249618,0.003273877494078205,0.8244072349893521,0.2031982287160306,0.10682594861316277,0.00015396468516330284,1.568244022495523,2.4136930575911086,3.0244447712060767,3.840211004768406e-06,0.9574923088813266,3.3750779948604765e-14,0.0,0,0
QFCBM_0333,chain,0.2,0.1,0.4,1,10,0.3107263691754495,0.005139821637575171,0.6431483871834015,0.48311105766974516,0.19706620257785062,0.00020650126004624508,1.5767498429896307,2.4231193725395594,2.9782623780546253,0.026861213141652563,1.0216068374753462,3.241851231905457e-14,0.0,0,0
