grid_id,controller,kappa,M_initial_label,n_seed,mean_resource_attributable_W,median_resource_attributable_W,n_resource_attr_positive,all_resource_attr_positive,mean_controller_energy_spent,mean_M_energy_final,mean_controller_starved_cycles,max_emitted_when_starved_cycles,mean_angle_budget,mean_net_after_controller_spend,n_net_after_spend_positive,all_net_after_spend_positive,max_residual
QFCBM_0399,evolved_shuffled_signal,0.0001,0.0,60,-2.5301890574022657e-17,-2.0816681711721685e-17,0,False,0.0,0.0,200.0,0.0,0.0,-2.5301890574022657e-17,0,False,4.39648317751562e-14
QFCBM_0399,evolved_shuffled_signal,0.0001,0.2,60,0.0010449376995493402,0.0010225979499444,54,False,0.014149833513571257,0.18585016648642885,0.0,0.0,141.49833513571284,-0.013104895814021916,0,False,5.4400928206632677e-14
QFCBM_0399,evolved_shuffled_signal,0.0001,1.0,60,0.0010449376995493402,0.0010225979499444,54,False,0.014149833513571257,0.9858501664864304,0.0,0.0,141.49833513571284,-0.013104895814021916,0,False,5.4400928206632677e-14
QFCBM_0399,evolved_shuffled_signal,0.0001,20.0,60,0.0010449376995493402,0.0010225979499444,54,False,0.014149833513571257,19.9858501664864,0.0,0.0,141.49833513571284,-0.013104895814021916,0,False,5.4400928206632677e-14
QFCBM_0399,evolved_shuffled_signal,0.0001,5.0,60,0.0010449376995493402,0.0010225979499444,54,False,0.014149833513571257,4.985850166486448,0.0,0.0,141.49833513571284,-0.013104895814021916,0,False,5.4400928206632677e-14
QFCBM_0399,evolved_shuffled_signal,0.0001,unlimited,60,0.0010449376995493402,0.0010225979499444,54,False,0.014149833513571257,inf,0.0,0.0,141.49833513571284,-0.013104895814021916,0,False,5.4400928206632677e-14
QFCBM_0399,evolved_shuffled_signal,0.0003,0.0,60,-2.5301890574022657e-17,-2.0816681711721685e-17,0,False,0.0,0.0,200.0,0.0,0.0,-2.5301890574022657e-17,0,False,4.39648317751562e-14
QFCBM_0399,evolved_shuffled_signal,0.0003,0.2,60,0.0010449376995493402,0.0010225979499444,54,False,0.042449500540713794,0.15755049945928662,0.0,0.0,141.49833513571284,-0.04140456284116445,0,False,5.4400928206632677e-14
QFCBM_0399,evolved_shuffled_signal,0.0003,1.0,60,0.0010449376995493402,0.0010225979499444,54,False,0.042449500540713794,0.9575504994592853,0.0,0.0,141.49833513571284,-0.04140456284116445,0,False,5.4400928206632677e-14
QFCBM_0399,evolved_shuffled_signal,0.0003,20.0,60,0.0010449376995493402,0.0010225979499444,54,False,0.042449500540713794,19.957550499459206,0.0,0.0,141.49833513571284,-0.04140456284116445,0,False,5.4400928206632677e-14
QFCBM_0399,evolved_shuffled_signal,0.0003,5.0,60,0.0010449376995493402,0.0010225979499444,54,False,0.042449500540713794,4.9575504994592965,0.0,0.0,141.49833513571284,-0.04140456284116445,0,False,5.4400928206632677e-14
QFCBM_0399,evolved_shuffled_signal,0.0003,unlimited,60,0.0010449376995493402,0.0010225979499444,54,False,0.042449500540713794,inf,0.0,0.0,141.49833513571284,-0.04140456284116445,0,False,5.4400928206632677e-14
QFCBM_0399,evolved_shuffled_signal,0.001,0.0,60,-2.5301890574022657e-17,-2.0816681711721685e-17,0,False,0.0,0.0,200.0,0.0,0.0,-2.5301890574022657e-17,0,False,4.39648317751562e-14
QFCBM_0399,evolved_shuffled_signal,0.001,0.2,60,0.0010449376995493402,0.0010225979499444,54,False,0.14149833513571272,0.05850166486428731,0.0,0.0,141.49833513571284,-0.14045339743616336,0,False,5.4400928206632677e-14
QFCBM_0399,evolved_shuffled_signal,0.001,1.0,60,0.0010449376995493402,0.0010225979499444,54,False,0.14149833513571272,0.858501664864286,0.0,0.0,141.49833513571284,-0.14045339743616336,0,False,5.4400928206632677e-14
